R2,151.44,45.09,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
R20,49.81,34.01,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R21,51.05,34.05,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R22,46.39,34.00,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R23,30.13,44.60,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R24,76.10,24.29,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R25,6.19,99.40,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,152.28,48.48,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,152.21,49.65,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,68.83,10.87,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,72.53,16.09,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,66.43,12.17,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,115.78,53.04,180.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,119.98,51.71,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,108.71,180.00,BUTTON_CUSYOMV1,MYBUTTON
SJ1,66.39,10.20,0.00,,SJ
TP1,1.40,66.05,0.00,TPTP20R,TP20R
TP10,21.40,31.33,0.00,TPTP20R,TP20R
TP11,13.40,31.25,0.00,TPTP20R,TP20R
TP12,111.80,1.85,0.00,TPTP20R,TP20R
TP13,1.40,74.09,0.00,TPTP20R,TP20R
TP14,148.40,65.01,0.00,TPTP20R,TP20R
TP15,18.56,31.30,0.00,TPTP20R,TP20R
TP16,89.32,102.33,0.00,TPTP20R,TP20R
TP17,99.40,23.77,0.00,TPTP20R,TP20R
TP2,1.40,69.97,0.00,TPTP20R,TP20R
TP3,135.40,64.89,0.00,TPTP20R,TP20R
TP4,57.40,26.81,0.00,TPTP20R,TP20R
TP5,89.40,106.73,0.00,TPTP20R,TP20R
TP6,21.40,27.65,0.00,TPTP20R,TP20R
TP7,18.40,27.57,0.00,TPTP20R,TP20R
TP8,13.40,27.49,0.00,TPTP20R,TP20R
TP9,108.10,1.81,0.00,TPTP20R,TP20R
U1,124.66,51.96,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,15.60,53.24,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,155.46,11.81,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U4,136.45,53.99,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,84.21,54.61,270.00,DS3231SN#,SOIC127P1032X265-16N
U6,35.78,52.54,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
